web-scraper-order,web-scraper-start-url,neighbourhood_link,neighbourhood_link-href,bedroom_link,bedroom_link-href,product_link,product_link-href,Address,Rental_Price,Sqft,Bedroom,Bathroom,Rental_Type,Neighbourhood
"1712083170-1","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","5+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=5","","https://www.rew.ca/rentals/5542992/4xxx-w-28th-avenue-vancouver-bc","4xxx W 28th Avenue","$12,800/month","3909 Sqft","7 Bed","5 Bath","House","Dunbar"
"1712083173-2","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","5+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=5","","https://www.rew.ca/rentals/5399630/1xxx-matthews-vancouver-bc","1xxx Matthews","$9,900/month","7000 Sqft","5 Bed","5 Bath","House","Shaughnessy"
"1712083176-3","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","5+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=5","","https://www.rew.ca/rentals/5723648/3456-east-3rd-avenue-vancouver-bc","3456 East 3rd Avenue","$4,500/month","2300 Sqft","5 Bed","4 Bath","House","Renfrew"
"1712083184-4","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5554987/703-499-pacific-street-vancouver-bc","703 499 Pacific Street","$9,995/month","2236 Sqft","3 Bed","3 Bath","Apt/Condo","Yaletown"
"1712083187-5","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5633014/100-9-smithe-mews-vancouver-bc","100 9 Smithe Mews","$8,000/month","1780 Sqft","3 Bed","3 Bath","Apt/Condo","Yaletown"
"1712083189-6","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5639725/1102-1067-marinaside-crescent-u21102-1102-1033-marinaside-crescent-vancouver-bc","1033 Marinaside Crescent","$5,200/month","1285 Sqft","3 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083192-7","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5654115/628-kinghorne-mews-vancouver-bc","628 Kinghorne Mews","$13,995/month","1900 Sqft","3 Bed","3 Bath","Apt/Condo","Yaletown"
"1712083195-8","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5669504/201-628-kinghorne-mews-vancouver-bc","201 628 Kinghorne Mews","$14,500/month","2000 Sqft","4 Bed","3 Bath","Apt/Condo","Yaletown"
"1712083201-9","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5646375/1708-1323-homer-stre-homer-street-street-vancouver-bc","1708 1323 Homer Stre Homer Street Street","$3,800/month","961 Sqft","2 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083204-10","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5657599/505-1238-homer-street-street-vancouver-bc","505 1238 Homer Street Street","$6,500/month","1200 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083207-11","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5662191/2508-1009-expo-boulevard-vancouver-bc","2508 1009 Expo Boulevard","$3,500/month","740 Sqft","2 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083210-12","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/4976603/1000-beach-avenue-vancouver-bc","1000 Beach Avenue","$6,500/month","1339 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083214-13","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5664261/2601-1201-marinaside-crescent-en2601-2601-1201-marinaside-crescent-vancouver-bc","1201 Marinaside Crescent","$4,000/month","985 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
